,player,college,birth_state,college_state
2151,Dexter Shouse,University of South Alabama,Indiana,Alabama
2152,Rodney White,University of South Alabama,Alabama,Alabama
2153,Royce White,University of South Alabama,Alabama,Alabama
2154,Larry Spriggs,Howard University,Maryland,District of Columbia
2155,Linton Townes,James Madison University,Virginia,Virginia
2156,Sedale Threatt,West Virginia University Institute of Technology,Georgia,West Virginia
2157,Earl Jones,University of the District of Columbia,West Virginia,District of Columbia
2158,Jerome Kersey,Longwood University,Virginia,Virginia
2159,John Schweitz,University of Richmond,New York,Virginia
2160,Johnny Newman,University of Richmond,Virginia,Virginia
2161,Justin Harper,University of Richmond,Virginia,Virginia
2162,John Stockton*,Gonzaga University,Washington,Washington
2163,Mike Champion,Gonzaga University,Washington,Washington
2164,Dan Dickau,Gonzaga University,Oregon,Washington
2165,Richie Frahm,Gonzaga University,Washington,Washington
2167,Adam Morrison,Gonzaga University,Montana,Washington
2168,Austin Daye,Gonzaga University,California,Washington
2169,Jeremy Pargo,Gonzaga University,Illinois,Washington
2170,Robert Sacre,Gonzaga University,Louisiana,Washington
2173,David Stockton,Gonzaga University,Washington,Washington
2174,Domantas Sabonis,Gonzaga University,Oregon,Washington
2175,Kyle Wiltjer,Gonzaga University,Oregon,Washington
2177,Jeff Cross,University of Maine,Illinois,Maine
2178,Terry Porter,University of Wisconsin-Stevens Point,Wisconsin,Wisconsin
2179,Kevin Duckworth,Eastern Illinois University,Illinois,Illinois
2180,Jay Taylor,Eastern Illinois University,Illinois,Illinois
2181,Myron Jackson,University of Arkansas at Little Rock,Arkansas,Arkansas
2182,Jim Lampley,University of Arkansas at Little Rock,Pennsylvania,Arkansas
2183,Pete Myers,University of Arkansas at Little Rock,Alabama,Arkansas
2184,Derek Fisher,University of Arkansas at Little Rock,Arkansas,Arkansas
2185,Joe Stephens,University of Arkansas at Little Rock,California,Arkansas
2186,Shane Edwards,University of Arkansas at Little Rock,California,Arkansas
2187,Dennis Rodman*,Southeastern Oklahoma State University,New Jersey,Oklahoma
2188,Scottie Pippen*,University of Central Arkansas,Arkansas,Arkansas
2190,Warren Kidd,Middle Tennessee State University,Alabama,Tennessee
2191,Michael Anderson,Drexel University,Pennsylvania,Pennsylvania
2192,Malik Rose,Drexel University,Pennsylvania,Pennsylvania
2193,Orlando Graham,Auburn University at Montgomery,Alabama,Alabama
2194,Etdrick Bohannon,Auburn University at Montgomery,California,Alabama
2195,Randolph Keys,University of Southern Mississippi,Mississippi,Mississippi
2196,Joe Courtney,University of Southern Mississippi,Mississippi,Mississippi
2197,Clarence Weatherspoon,University of Southern Mississippi,Mississippi,Mississippi
2198,Kelly McCarty,University of Southern Mississippi,Illinois,Mississippi
2199,Rob Rose,George Mason University,New York,Virginia
2203,Jeff Foster,Texas State University,Texas,Texas
2204,Lanard Copeland,Georgia State University,Georgia,Georgia
2205,Mike Higgins,University of Northern Colorado,Nebraska,Colorado
2206,Shawn Kemp,Trinity Valley Community College,Indiana,Texas
2207,Sam Mitchell,Mercer University,Georgia,Georgia
2208,David Robinson*,United States Naval Academy,Florida,Maryland
2209,Mario Elie,American International College,New York,Massachusetts
2210,Kurk Lee,Towson University,Maryland,Maryland
2211,Gary Neal,Towson University,Maryland,Maryland
2212,Jerrelle Benimon,Towson University,Virginia,Maryland
2213,Kennard Winchester,Averett University,Maryland,Virginia
2214,Myron Brown,Slippery Rock University of Pennsylvania,Pennsylvania,Pennsylvania
2215,Lamont Strothers,Christopher Newport University,Virginia,Virginia
2216,Tony Bennett,University of Wisconsin-Green Bay,Wisconsin,Wisconsin
2217,Logan Vander,University of Wisconsin-Green Bay,Wisconsin,Wisconsin
2218,Jeff Nordgaard,University of Wisconsin-Green Bay,Minnesota,Wisconsin
2219,Alex Blackwell,Monmouth University,New Jersey,New Jersey
2220,Keith Jennings,East Tennessee State University,Virginia,Tennessee
2221,Vin Baker,University of Hartford,Florida,Connecticut
2222,Harold Ellis,Morehouse College,Georgia,Georgia
2223,Alphonso Ford,Mississippi Valley State University,Mississippi,Mississippi
2224,Alton Ford,Mississippi Valley State University,Mississippi,Mississippi
2225,Antonio Harvey,Pfeiffer University,Mississippi,North Carolina
2226,Darrell Armstrong,Fayetteville State University,North Carolina,North Carolina
2227,Chris Childs,Boise State University,California,Idaho
2228,John Coker,Boise State University,Washington,Idaho
2229,Coby Karl,Boise State University,Montana,Idaho
2230,Tony Dumas,University of Missouri-Kansas City,Illinois,Missouri
2233,Sherell Ford,University of Illinois at Chicago,Louisiana,Illinois
2234,Sharrod Ford,University of Illinois at Chicago,Louisiana,Illinois
2235,Martin Lewis,Seward County Community College,Kansas,Kansas
2236,Todd Mundt,Delta State University,Iowa,Mississippi
2237,Jeremy Richardson,Delta State University,Pennsylvania,Mississippi
2238,Emanual Davis,Delaware State University,Pennsylvania,Delaware
2239,Nate Driggers,University of Montevallo,Illinois,Alabama
2240,Gaylon Nickerson,Northwestern Oklahoma State University,Arkansas,Oklahoma
2241,Keith Closs,Central Connecticut State University,Connecticut,Connecticut
2242,Corsley Edwards,Central Connecticut State University,Maryland,Connecticut
2243,Travis Williams,South Carolina State University,South Carolina,South Carolina
2244,Troy Williams,South Carolina State University,South Carolina,South Carolina
2245,Bonzi Wells,Ball State University,Indiana,Indiana
2246,Theron Smith,Ball State University,Florida,Indiana
2248,Eddie Robinson,University of Central Oklahoma,Michigan,Oklahoma
2251,Andy Panko,Lebanon Valley College,Pennsylvania,Pennsylvania
2252,Daniel Santiago,Saint Vincent College,Texas,Pennsylvania
2253,Chris Andersen,Blinn College,California,Texas
2254,Damone Brown,Humboldt State University,California,California
2255,Ernest Brown,Indian Hills Community College,New York,Iowa
2256,Junior Harrington,Wingate University,North Carolina,North Carolina
2257,Ronald Murray,Shaw University,Pennsylvania,North Carolina
2258,Qyntel Woods,Northeast Mississippi Community College,Tennessee,Mississippi
2261,Kay Felder,Oakland University,Michigan,Michigan
2262,Robert Whaley,Walsh University,Michigan,Ohio
2263,Jamario Moon,Meridian Community College,Alabama,Mississippi
2264,Rodney Stuckey,Eastern Washington University,Washington,Washington
2266,Andrew Goudelock,College of Charleston,Georgia,South Carolina
2267,Edwin Ubiles,Siena College,New York,New York
2268,Ian Clark,Belmont University,Tennessee,Tennessee
2269,Mike Muscala,Bucknell University,Minnesota,Pennsylvania
